#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-16T14:41:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54b922f76911	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/529/A75&tab:{J/A+A/529/A75/table-af}&key:source=J/A+A/529/A75/table-af&HTTPPRM:&
#-source=J/A+A/529/A75/table-af
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=a
#-out=b
#-out=Filt
#Filt=Kp
#-out=Met
#Met=L
#-out=Mod
#Mod=A
#-out=c
#-out=d
#-out=e
#-out=f
#

#RESOURCE=yCat_35290075
#Name: J/A+A/529/A75
#Title: Limb-darkening coefficients (Claret+, 2011)
#Table	J_A_A_529_A75_table-af:
#Name: J/A+A/529/A75/table-af
#Title: 2-parameter limb darkening coefficients: quadratic {\em(a,b)}, root-square {\em(c,d)} and logarithmic {\em(e,f)} (equations 2, 3 and 4)
#Column	logg	(F5.2)	[0/5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[2000/50000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[-5/1] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[0/8] Microturbulent velocity	[ucd=phys.veloc]
#Column	a	(F7.4)	Quadratic limb darkening coefficient a (G2)	[ucd=phot.limbDark]
#Column	b	(F7.4)	Quadratic limb darkening coefficient b (G2)	[ucd=phot.limbDark]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[LF] Method (Least-Square or Flux Conservation)	[ucd=meta.id;stat.fit]
#Column	Mod	(A1)	Model used: {\bf A}TLAS or {\bf P}HOENIX	[ucd=instr.setup;meta.modelled]
#Column	c	(F7.4)	Root-square limb darkening coefficient c (G2)	[ucd=phot.limbDark]
#Column	d	(F7.4)	Root-square limb darkening coefficient d (G2)	[ucd=phot.limbDark]
#Column	e	(F7.4)	Logarithmic limb darkening coefficient e (G2)	[ucd=phot.limbDark]
#Column	f	(F7.4)	Logarithmic limb darkening coefficient f (G2)	[ucd=phot.limbDark]
#logg	Teff	Z	xi	a	b	Filt	Met	Mod	c	d	e	f
#[cm/s2]	K	[Sun]	km/s	 	 	 	 	 	 	 	 	
#-----	------	----	----	-------	-------	--	-	-	-------	-------	-------	-------
 1.00	  5000	-5.0	 2.0	 0.4526	 0.1812	Kp	L	A	 0.3260	 0.3760	 0.6585	 0.1674
 1.50	  5000	-5.0	 2.0	 0.4130	 0.2188	Kp	L	A	 0.2598	 0.4547	 0.6618	 0.2023
 2.00	  5000	-5.0	 2.0	 0.3703	 0.2597	Kp	L	A	 0.1883	 0.5399	 0.6657	 0.2403
 2.50	  5000	-5.0	 2.0	 0.3310	 0.2972	Kp	L	A	 0.1231	 0.6173	 0.6689	 0.2748
 3.00	  5000	-5.0	 2.0	 0.2977	 0.3268	Kp	L	A	 0.0667	 0.6821	 0.6696	 0.3029
 3.50	  5000	-5.0	 2.0	 0.2744	 0.3458	Kp	L	A	 0.0281	 0.7247	 0.6682	 0.3211
 4.00	  5000	-5.0	 2.0	 0.2433	 0.3643	Kp	L	A	-0.0208	 0.7700	 0.6587	 0.3396
 4.50	  5000	-5.0	 2.0	 0.1865	 0.3962	Kp	L	A	-0.1154	 0.8585	 0.6404	 0.3743
 5.00	  5000	-5.0	 2.0	 0.1411	 0.4079	Kp	L	A	-0.1765	 0.8936	 0.6093	 0.3874
 0.00	  5250	-5.0	 2.0	 0.4796	 0.1513	Kp	L	A	 0.3733	 0.3148	 0.6516	 0.1398
 0.50	  5250	-5.0	 2.0	 0.4626	 0.1682	Kp	L	A	 0.3446	 0.3498	 0.6538	 0.1555
 1.00	  5250	-5.0	 2.0	 0.4362	 0.1935	Kp	L	A	 0.3000	 0.4031	 0.6563	 0.1791
 1.50	  5250	-5.0	 2.0	 0.4037	 0.2245	Kp	L	A	 0.2455	 0.4680	 0.6592	 0.2079
 2.00	  5250	-5.0	 2.0	 0.3697	 0.2575	Kp	L	A	 0.1888	 0.5359	 0.6626	 0.2383
 2.50	  5250	-5.0	 2.0	 0.3383	 0.2875	Kp	L	A	 0.1371	 0.5973	 0.6652	 0.2658
 3.00	  5250	-5.0	 2.0	 0.3097	 0.3140	Kp	L	A	 0.0903	 0.6518	 0.6667	 0.2901
 3.50	  5250	-5.0	 2.0	 0.2822	 0.3365	Kp	L	A	 0.0442	 0.7026	 0.6651	 0.3118
 4.00	  5250	-5.0	 2.0	 0.2668	 0.3480	Kp	L	A	 0.0193	 0.7287	 0.6630	 0.3228
 4.50	  5250	-5.0	 2.0	 0.2279	 0.3712	Kp	L	A	-0.0448	 0.7897	 0.6517	 0.3473
 5.00	  5250	-5.0	 2.0	 0.1686	 0.4030	Kp	L	A	-0.1434	 0.8803	 0.6311	 0.3826
 0.00	  5500	-5.0	 2.0	 0.4390	 0.1849	Kp	L	A	 0.3092	 0.3847	 0.6492	 0.1709
 0.50	  5500	-5.0	 2.0	 0.4297	 0.1941	Kp	L	A	 0.2919	 0.4060	 0.6506	 0.1800
 1.00	  5500	-5.0	 2.0	 0.4139	 0.2097	Kp	L	A	 0.2646	 0.4394	 0.6527	 0.1947
 1.50	  5500	-5.0	 2.0	 0.3914	 0.2312	Kp	L	A	 0.2267	 0.4844	 0.6547	 0.2147
 2.00	  5500	-5.0	 2.0	 0.3662	 0.2561	Kp	L	A	 0.1857	 0.5338	 0.6575	 0.2371
 2.50	  5500	-5.0	 2.0	 0.3393	 0.2819	Kp	L	A	 0.1423	 0.5852	 0.6598	 0.2604
 3.00	  5500	-5.0	 2.0	 0.3153	 0.3039	Kp	L	A	 0.1041	 0.6293	 0.6607	 0.2804
 3.50	  5500	-5.0	 2.0	 0.2945	 0.3227	Kp	L	A	 0.0708	 0.6673	 0.6610	 0.2974
 4.00	  5500	-5.0	 2.0	 0.2719	 0.3390	Kp	L	A	 0.0334	 0.7061	 0.6574	 0.3136
 4.50	  5500	-5.0	 2.0	 0.2451	 0.3552	Kp	L	A	-0.0118	 0.7500	 0.6501	 0.3310
 5.00	  5500	-5.0	 2.0	 0.2087	 0.3777	Kp	L	A	-0.0721	 0.8083	 0.6405	 0.3546
 0.00	  5750	-5.0	 2.0	 0.5715	 0.0698	Kp	L	A	 0.5247	 0.1419	 0.6503	 0.0633
 0.50	  5750	-5.0	 2.0	 0.4005	 0.2201	Kp	L	A	 0.2492	 0.4534	 0.6503	 0.2023
 1.00	  5750	-5.0	 2.0	 0.3869	 0.2291	Kp	L	A	 0.2228	 0.4814	 0.6480	 0.2131
 1.50	  5750	-5.0	 2.0	 0.3751	 0.2411	Kp	L	A	 0.2029	 0.5059	 0.6498	 0.2240
 2.00	  5750	-5.0	 2.0	 0.3578	 0.2582	Kp	L	A	 0.1750	 0.5394	 0.6516	 0.2393
 2.50	  5750	-5.0	 2.0	 0.3378	 0.2773	Kp	L	A	 0.1439	 0.5759	 0.6531	 0.2562
 3.00	  5750	-5.0	 2.0	 0.3192	 0.2947	Kp	L	A	 0.1154	 0.6088	 0.6539	 0.2715
 3.50	  5750	-5.0	 2.0	 0.2998	 0.3118	Kp	L	A	 0.0855	 0.6422	 0.6537	 0.2867
 4.00	  5750	-5.0	 2.0	 0.2827	 0.3255	Kp	L	A	 0.0584	 0.6712	 0.6522	 0.2994
 4.50	  5750	-5.0	 2.0	 0.2598	 0.3411	Kp	L	A	 0.0201	 0.7100	 0.6477	 0.3154
 5.00	  5750	-5.0	 2.0	 0.2307	 0.3599	Kp	L	A	-0.0284	 0.7582	 0.6409	 0.3350
 0.00	  6000	-5.0	 2.0	 0.5475	 0.0905	Kp	L	A	 0.4893	 0.1807	 0.6494	 0.0813
 0.50	  6000	-5.0	 2.0	 0.5466	 0.0918	Kp	L	A	 0.4878	 0.1828	 0.6499	 0.0823
 1.00	  6000	-5.0	 2.0	 0.3952	 0.2193	Kp	L	A	 0.2411	 0.4565	 0.6445	 0.2027
 1.50	  6000	-5.0	 2.0	 0.3555	 0.2534	Kp	L	A	 0.1750	 0.5310	 0.6441	 0.2353
 2.00	  6000	-5.0	 2.0	 0.3450	 0.2636	Kp	L	A	 0.1582	 0.5510	 0.6450	 0.2444
 2.50	  6000	-5.0	 2.0	 0.3326	 0.2753	Kp	L	A	 0.1401	 0.5718	 0.6457	 0.2544
 3.00	  6000	-5.0	 2.0	 0.3186	 0.2882	Kp	L	A	 0.1195	 0.5949	 0.6458	 0.2653
 3.50	  6000	-5.0	 2.0	 0.3020	 0.3031	Kp	L	A	 0.0950	 0.6225	 0.6459	 0.2782
 4.00	  6000	-5.0	 2.0	 0.2910	 0.3127	Kp	L	A	 0.0789	 0.6399	 0.6454	 0.2864
 4.50	  6000	-5.0	 2.0	 0.2736	 0.3249	Kp	L	A	 0.0507	 0.6685	 0.6422	 0.2984
 5.00	  6000	-5.0	 2.0	 0.2484	 0.3425	Kp	L	A	 0.0089	 0.7112	 0.6377	 0.3162
 0.50	  6250	-5.0	 2.0	 0.5212	 0.1137	Kp	L	A	 0.4500	 0.2242	 0.6489	 0.1014
 1.00	  6250	-5.0	 2.0	 0.5209	 0.1126	Kp	L	A	 0.4503	 0.2222	 0.6474	 0.1005
 1.50	  6250	-5.0	 2.0	 0.3611	 0.2448	Kp	L	A	 0.1896	 0.5088	 0.6393	 0.2261
 2.00	  6250	-5.0	 2.0	 0.3303	 0.2711	Kp	L	A	 0.1404	 0.5635	 0.6385	 0.2505
 2.50	  6250	-5.0	 2.0	 0.3233	 0.2774	Kp	L	A	 0.1304	 0.5745	 0.6384	 0.2558
 3.00	  6250	-5.0	 2.0	 0.3139	 0.2858	Kp	L	A	 0.1176	 0.5885	 0.6383	 0.2627
 3.50	  6250	-5.0	 2.0	 0.3028	 0.2957	Kp	L	A	 0.1021	 0.6053	 0.6380	 0.2709
 4.00	  6250	-5.0	 2.0	 0.2910	 0.3056	Kp	L	A	 0.0847	 0.6240	 0.6372	 0.2795
 4.50	  6250	-5.0	 2.0	 0.2745	 0.3178	Kp	L	A	 0.0582	 0.6514	 0.6348	 0.2913
 5.00	  6250	-5.0	 2.0	 0.2608	 0.3272	Kp	L	A	 0.0367	 0.6728	 0.6320	 0.3004
 0.50	  6500	-5.0	 2.0	 0.4995	 0.1318	Kp	L	A	 0.4157	 0.2617	 0.6478	 0.1181
 1.00	  6500	-5.0	 2.0	 0.4939	 0.1357	Kp	L	A	 0.4097	 0.2664	 0.6462	 0.1208
 1.50	  6500	-5.0	 2.0	 0.4937	 0.1327	Kp	L	A	 0.4117	 0.2601	 0.6426	 0.1180
 2.00	  6500	-5.0	 2.0	 0.3300	 0.2649	Kp	L	A	 0.1448	 0.5502	 0.6311	 0.2446
 2.50	  6500	-5.0	 2.0	 0.3051	 0.2859	Kp	L	A	 0.1065	 0.5919	 0.6299	 0.2636
 3.00	  6500	-5.0	 2.0	 0.3039	 0.2870	Kp	L	A	 0.1066	 0.5910	 0.6295	 0.2638
 3.50	  6500	-5.0	 2.0	 0.2978	 0.2927	Kp	L	A	 0.0993	 0.5990	 0.6296	 0.2681
 4.00	  6500	-5.0	 2.0	 0.2900	 0.2994	Kp	L	A	 0.0886	 0.6103	 0.6290	 0.2735
 4.50	  6500	-5.0	 2.0	 0.2801	 0.3069	Kp	L	A	 0.0737	 0.6254	 0.6276	 0.2803
 5.00	  6500	-5.0	 2.0	 0.2639	 0.3185	Kp	L	A	 0.0478	 0.6519	 0.6248	 0.2916
 0.50	  6750	-5.0	 2.0	 0.4701	 0.1583	Kp	L	A	 0.3687	 0.3154	 0.6484	 0.1423
 1.00	  6750	-5.0	 2.0	 0.4703	 0.1546	Kp	L	A	 0.3720	 0.3070	 0.6443	 0.1386
 1.50	  6750	-5.0	 2.0	 0.4653	 0.1563	Kp	L	A	 0.3687	 0.3063	 0.6408	 0.1390
 2.00	  6750	-5.0	 2.0	 0.4672	 0.1499	Kp	L	A	 0.3756	 0.2922	 0.6352	 0.1329
 2.50	  6750	-5.0	 2.0	 0.3037	 0.2803	Kp	L	A	 0.1084	 0.5811	 0.6221	 0.2585
 3.00	  6750	-5.0	 2.0	 0.2871	 0.2951	Kp	L	A	 0.0845	 0.6074	 0.6219	 0.2711
 3.50	  6750	-5.0	 2.0	 0.2874	 0.2948	Kp	L	A	 0.0873	 0.6036	 0.6216	 0.2700
 4.00	  6750	-5.0	 2.0	 0.2837	 0.2978	Kp	L	A	 0.0832	 0.6074	 0.6211	 0.2722
 4.50	  6750	-5.0	 2.0	 0.2779	 0.3022	Kp	L	A	 0.0754	 0.6149	 0.6200	 0.2758
 5.00	  6750	-5.0	 2.0	 0.2668	 0.3103	Kp	L	A	 0.0585	 0.6320	 0.6181	 0.2833
 0.50	  7000	-5.0	 2.0	 0.4333	 0.1913	Kp	L	A	 0.3102	 0.3819	 0.6489	 0.1723
 1.00	  7000	-5.0	 2.0	 0.4381	 0.1821	Kp	L	A	 0.3202	 0.3646	 0.6434	 0.1642
 1.50	  7000	-5.0	 2.0	 0.4406	 0.1750	Kp	L	A	 0.3289	 0.3481	 0.6376	 0.1571
 2.00	  7000	-5.0	 2.0	 0.4378	 0.1740	Kp	L	A	 0.3305	 0.3407	 0.6331	 0.1547
 2.50	  7000	-5.0	 2.0	 0.4406	 0.1667	Kp	L	A	 0.3398	 0.3236	 0.6273	 0.1475
 3.00	  7000	-5.0	 2.0	 0.2824	 0.2926	Kp	L	A	 0.0804	 0.6039	 0.6145	 0.2692
 3.50	  7000	-5.0	 2.0	 0.2734	 0.3005	Kp	L	A	 0.0687	 0.6163	 0.6141	 0.2755
 4.00	  7000	-5.0	 2.0	 0.2736	 0.3001	Kp	L	A	 0.0708	 0.6130	 0.6136	 0.2745
 4.50	  7000	-5.0	 2.0	 0.2718	 0.3012	Kp	L	A	 0.0698	 0.6131	 0.6128	 0.2749
 5.00	  7000	-5.0	 2.0	 0.2637	 0.3069	Kp	L	A	 0.0580	 0.6245	 0.6111	 0.2800
 1.00	  7250	-5.0	 2.0	 0.3985	 0.2153	Kp	L	A	 0.2573	 0.4336	 0.6415	 0.1948
 1.50	  7250	-5.0	 2.0	 0.4068	 0.2020	Kp	L	A	 0.2746	 0.4065	 0.6348	 0.1827
 2.00	  7250	-5.0	 2.0	 0.4115	 0.1928	Kp	L	A	 0.2878	 0.3844	 0.6287	 0.1734
 2.50	  7250	-5.0	 2.0	 0.4113	 0.1904	Kp	L	A	 0.2939	 0.3728	 0.6250	 0.1694
 3.00	  7250	-5.0	 2.0	 0.4154	 0.1823	Kp	L	A	 0.3051	 0.3538	 0.6196	 0.1613
 3.50	  7250	-5.0	 2.0	 0.2632	 0.3025	Kp	L	A	 0.0548	 0.6237	 0.6065	 0.2781
 4.00	  7250	-5.0	 2.0	 0.2595	 0.3057	Kp	L	A	 0.0515	 0.6267	 0.6061	 0.2801
 4.50	  7250	-5.0	 2.0	 0.2613	 0.3041	Kp	L	A	 0.0564	 0.6205	 0.6058	 0.2779
 5.00	  7250	-5.0	 2.0	 0.2576	 0.3062	Kp	L	A	 0.0519	 0.6238	 0.6043	 0.2796
 1.00	  7500	-5.0	 2.0	 0.3627	 0.2416	Kp	L	A	 0.2015	 0.4907	 0.6359	 0.2198
 1.50	  7500	-5.0	 2.0	 0.3672	 0.2330	Kp	L	A	 0.2118	 0.4731	 0.6307	 0.2118
 2.00	  7500	-5.0	 2.0	 0.3780	 0.2176	Kp	L	A	 0.2340	 0.4402	 0.6239	 0.1974
 2.50	  7500	-5.0	 2.0	 0.3844	 0.2082	Kp	L	A	 0.2502	 0.4161	 0.6191	 0.1875
 3.00	  7500	-5.0	 2.0	 0.3856	 0.2058	Kp	L	A	 0.2580	 0.4040	 0.6168	 0.1834
 3.50	  7500	-5.0	 2.0	 0.3895	 0.1987	Kp	L	A	 0.2688	 0.3864	 0.6123	 0.1761
 4.00	  7500	-5.0	 2.0	 0.2523	 0.3084	Kp	L	A	 0.0436	 0.6305	 0.6018	 0.2821
 4.50	  7500	-5.0	 2.0	 0.2491	 0.3091	Kp	L	A	 0.0398	 0.6321	 0.5993	 0.2828
 5.00	  7500	-5.0	 2.0	 0.2473	 0.3094	Kp	L	A	 0.0384	 0.6319	 0.5978	 0.2829
 1.50	  7750	-5.0	 2.0	 0.3313	 0.2577	Kp	L	A	 0.1559	 0.5283	 0.6232	 0.2356
 2.00	  7750	-5.0	 2.0	 0.3389	 0.2464	Kp	L	A	 0.1723	 0.5035	 0.6178	 0.2248
 2.50	  7750	-5.0	 2.0	 0.3524	 0.2295	Kp	L	A	 0.1989	 0.4666	 0.6120	 0.2088
 3.00	  7750	-5.0	 2.0	 0.3590	 0.2223	Kp	L	A	 0.2150	 0.4453	 0.6096	 0.2004
 3.50	  7750	-5.0	 2.0	 0.3607	 0.2208	Kp	L	A	 0.2230	 0.4347	 0.6089	 0.1971
 4.00	  7750	-5.0	 2.0	 0.3644	 0.2145	Kp	L	A	 0.2333	 0.4184	 0.6050	 0.1904
 4.50	  7750	-5.0	 2.0	 0.2347	 0.3162	Kp	L	A	 0.0190	 0.6488	 0.5932	 0.2898
 5.00	  7750	-5.0	 2.0	 0.2353	 0.3143	Kp	L	A	 0.0216	 0.6441	 0.5916	 0.2879
 1.50	  8000	-5.0	 2.0	 0.3032	 0.2735	Kp	L	A	 0.1134	 0.5659	 0.6136	 0.2514
 2.00	  8000	-5.0	 2.0	 0.3056	 0.2674	Kp	L	A	 0.1207	 0.5523	 0.6090	 0.2455
 2.50	  8000	-5.0	 2.0	 0.3162	 0.2544	Kp	L	A	 0.1421	 0.5229	 0.6045	 0.2329
 3.00	  8000	-5.0	 2.0	 0.3301	 0.2389	Kp	L	A	 0.1692	 0.4873	 0.6004	 0.2177
 3.50	  8000	-5.0	 2.0	 0.3353	 0.2352	Kp	L	A	 0.1823	 0.4720	 0.6006	 0.2123
 4.00	  8000	-5.0	 2.0	 0.3365	 0.2353	Kp	L	A	 0.1888	 0.4645	 0.6011	 0.2104
 4.50	  8000	-5.0	 2.0	 0.3398	 0.2298	Kp	L	A	 0.1983	 0.4496	 0.5976	 0.2044
 5.00	  8000	-5.0	 2.0	 0.2200	 0.3219	Kp	L	A	-0.0009	 0.6626	 0.5852	 0.2955
 2.00	  8250	-5.0	 2.0	 0.2802	 0.2798	Kp	L	A	 0.0830	 0.5833	 0.5982	 0.2583
